term,category,canonical_form,vietnamese_hint
connection pool,database,connection pool,nh?m k?t n?i
batch job,backend,batch job,t?c v? h?ng lo?t
contract test,testing,contract test,ki?m th? h?p ??ng API
terraform plan,devops,Terraform plan,k? ho?ch h? t?ng
security group,devops,security group,nh?m b?o m?t
toast notification,frontend,toast notification,th?ng b?o n?i
sticky header,frontend,sticky header,header c? ??nh
dto,backend,DTO,??i t??ng truy?n d? li?u
repository,backend,repository,l?p truy c?p d? li?u
read replica,database,read replica,b?n sao ch? ??c
mock clock,testing,mock clock,??ng h? gi? l?p
health probe,devops,health probe,??u d? s?c kh?e
form wizard,frontend,form wizard,form nhi?u b??c
local storage,frontend,localStorage,l?u tr? tr?nh duy?t
serializer,backend,serializer,b? tu?n t? h?a
smoke test,testing,smoke test,ki?m th? kh?i
blue green deployment,devops,blue-green deployment,tri?n khai xanh l?c
downtime,devops,downtime,th?i gian gi?n ?o?n
hydration error,frontend,hydration error,l?i hydration
server render,frontend,server render,render ph?a server
job scheduler,backend,job scheduler,b? l?p l?ch
backup restore,database,backup restore,kh?i ph?c b?n sao l?u
test data builder,testing,test data builder,b? d?ng d? li?u test
alert manager,devops,alert manager,qu?n l? c?nh b?o
memoization,frontend,memoization,ghi nh? k?t qu?
circuit breaker,backend,circuit breaker,m?u ng?t m?ch
downstream service,backend,downstream service,d?ch v? ph? thu?c
materialized view,database,materialized view,view v?t h?a
parallel test,testing,parallel test,test ch?y song song
temp folder,testing,temp folder,th? m?c t?m
helm chart,devops,Helm chart,g?i tri?n khai Kubernetes
resource limit,devops,resource limit,gi?i h?n t?i nguy?n
dark mode,frontend,dark mode,ch? ?? t?i
app state,frontend,app state,tr?ng th?i ?ng d?ng
express request,backend,Express request,request Express
vacuum,database,VACUUM,d?n b?ng Postgres
table bloat,database,table bloat,ph?nh b?ng
mutation test,testing,mutation test,ki?m th? ??t bi?n
ssl certificate,devops,SSL certificate,ch?ng ch? SSL
layout shift,frontend,layout shift,d?ch chuy?n b? c?c
feature flag,backend,feature flag,c? t?nh n?ng
enum status,database,enum status,tr?ng th?i enum
playwright trace,testing,Playwright trace,v?t ch?y Playwright
artifact build,devops,artifact build,s?n ph?m build
version tag,devops,version tag,nh?n phi?n b?n
git commit,git,git commit,commit git
accessibility audit,frontend,accessibility audit,ki?m tra kh? n?ng truy c?p
keyboard navigation,frontend,keyboard navigation,?i?u h??ng b?n ph?m
oauth callback,backend,OAuth callback,callback OAuth
sharding,database,sharding,chia m?nh d? li?u
message broker,devops,message broker,h?ng ??i th?ng ?i?p
consumer,devops,consumer,b? ti?u th? message
service worker,frontend,service worker,worker tr?nh duy?t
graphql resolver,backend,GraphQL resolver,resolver GraphQL
n plus one query,database,N+1 query,l?i truy v?n N+1
unique index,database,unique index,ch? m?c duy nh?t
regression test,testing,regression test,ki?m th? h?i quy
dockerfile,devops,Dockerfile,file build Docker
multi stage build,devops,multi-stage build,build nhi?u giai ?o?n
image size,devops,image size,k?ch th??c image
