utt_id,audio_path,split,domain,scenario,speaker_id,transcript
vise_0091,audio/vise_0091.wav,test,frontend,planning,spk01,accessibility audit se kiem tra contrast va keyboard navigation
vise_0092,audio/vise_0092.wav,test,backend,bug_report,spk02,oauth callback redirect sai domain tren moi truong staging
vise_0093,audio/vise_0093.wav,test,database,planning,spk03,sharding theo tenant id co the giam tai database chinh
vise_0094,audio/vise_0094.wav,test,testing,code_review,spk04,snapshot nen update sau khi designer doi copy
vise_0095,audio/vise_0095.wav,test,devops,incident,spk05,message broker bi nghen vi consumer xu ly qua cham
vise_0096,audio/vise_0096.wav,test,frontend,debugging,spk01,service worker cache lam nguoi dung thay phien ban cu
vise_0097,audio/vise_0097.wav,test,backend,planning,spk02,graphql resolver can batch request de tranh n plus one query
vise_0098,audio/vise_0098.wav,test,database,bug_report,spk03,unique index khong hoat dong vi du lieu null duoc phep lap
vise_0099,audio/vise_0099.wav,test,testing,planning,spk04,regression test se cover cac bug da tung xay ra
vise_0100,audio/vise_0100.wav,test,devops,code_review,spk05,dockerfile nen dung multi stage build de giam image size
